File Alpha ROC-AUC AVG-Precision
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 0.0 0.8834655209188432 0.17288286528111516
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 0.1 0.8975601261926563 0.18559884846164795
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 0.2 0.9001666065516323 0.19883662842285335
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 0.30000000000000004 0.8878303753725344 0.2089632974715884
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 0.4 0.8599165575911 0.20674267112778244
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 0.5 0.8150507581863603 0.18635145871158076
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 0.6000000000000001 0.758543272268158 0.16538752099197168
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 0.7000000000000001 0.6990215578548487 0.13828133942838322
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 0.8 0.6346234394632451 0.13261501681736823
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 0.9 0.6343620656862325 0.1326117854945535
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.1.out 1.0 0.4857502223173569 0.06105283103049241
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 0.0 0.8834655209188432 0.17288286528111516
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 0.1 0.8996509501184002 0.1866513365054856
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 0.2 0.9032278855557917 0.2000779977435696
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 0.30000000000000004 0.8906960564785438 0.20854174722567162
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 0.4 0.8616283079338934 0.19746457006704546
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 0.5 0.8147593293822605 0.17178302466160994
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 0.6000000000000001 0.7587781305772854 0.15540062955806747
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 0.7000000000000001 0.7066352205677123 0.13482174549543258
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 0.8 0.64743038555056 0.13029698145945537
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 0.9 0.6472232353782138 0.1302944058371936
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.2.out 1.0 0.5031992607552516 0.04854903720302132
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 0.0 0.8834655209188432 0.17288286528111516
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 0.1 0.9013810777617322 0.19878857634674624
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 0.2 0.90587258027524 0.22289874498323123
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 0.30000000000000004 0.8948054053770368 0.23715786967637495
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 0.4 0.8692294234193623 0.2303385762860075
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 0.5 0.8294450504057046 0.20055115037916235
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 0.6000000000000001 0.7855862034010386 0.18718912036734653
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 0.7000000000000001 0.7538348780253167 0.18108482747358218
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 0.8 0.7346160376250124 0.18027656266742031
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 0.9 0.7346158658065852 0.18027656025665378
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.3.out 1.0 0.5958522718451469 0.052517072017045766
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 0.0 0.8834655209188432 0.17288286528111516
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 0.1 0.9053191304117808 0.20683269479100663
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 0.2 0.913348361887748 0.2398562398760682
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 0.30000000000000004 0.90748672784078 0.25860262245517524
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 0.4 0.8902878654492905 0.25779369313306166
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 0.5 0.8636406523737102 0.23968737306670104
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 0.6000000000000001 0.8347033222824004 0.23100632321156062
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 0.7000000000000001 0.8116226184032431 0.22692666464244937
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 0.8 0.7984853515891239 0.22646750835921833
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 0.9 0.79848535497569 0.22646750841090277
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.4.out 1.0 0.6701964702676165 0.06855970645663526
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 0.0 0.8834655209188432 0.17288286528111516
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 0.1 0.9116741778262412 0.21358190123575435
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 0.2 0.9239746450744512 0.25308895561209643
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 0.30000000000000004 0.9232280073526454 0.2735649174758152
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 0.4 0.9147337329188492 0.27481024988478986
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 0.5 0.9005518424398211 0.26235672058811355
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 0.6000000000000001 0.8841612671182089 0.25789728839963844
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 0.7000000000000001 0.8710002888631316 0.25622817444706525
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 0.8 0.8641521999062158 0.2560239285289971
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 0.9 0.8641522020975232 0.25602392855891376
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.5.out 1.0 0.7393646651695476 0.07343935337090364
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 0.0 0.8834655209188432 0.17288286528111516
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 0.1 0.9155500635812346 0.21601180226188105
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 0.2 0.9302965255063943 0.2569819074929993
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 0.30000000000000004 0.9319408501648084 0.27988010971534705
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 0.4 0.9271058278329299 0.28590049553174174
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 0.5 0.9185182042983072 0.2777576498044594
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 0.6000000000000001 0.9090912008336179 0.27484071895123824
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 0.7000000000000001 0.9039747356352128 0.2747945851492966
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 0.8 0.9038371160474834 0.27479852241267616
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 0.9 0.9038371185376055 0.2747985224455245
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.6.out 1.0 0.7807423154873362 0.08434715244103166
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.7.out 0.0 0.8834655209188432 0.17288286528111516
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.7.out 0.1 0.9200217050798335 0.21342924049273582
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.7.out 0.2 0.9378712924617656 0.24906295549337984
chembl23_GS3_v2.mphase_gt_0.txt.co.CM_Annotation.R_0.7.out 0.30000000000000004 0.9420497128161569 0.26530201046795204
